,index,trait,trait_level,frequency,avg_placement,top4_rate_pct,top1_rate_pct
0,34,trait_TFT14_EdgeRunner,4,2,1.5,100.0,50.0
1,3,trait_TFT14_AnimaSquad,4,29,1.5,96.6,79.3
2,50,trait_TFT14_StreetDemon,4,38,1.7,92.1,78.9
3,23,trait_TFT14_Cyberboss,3,251,3.4,69.7,23.9
4,44,trait_TFT14_Mob,3,45,3.3,68.9,33.3
5,60,trait_TFT14_Supercharge,4,583,3.5,68.3,21.6
6,21,trait_TFT14_Cyberboss,1,1696,3.6,67.3,19.6
7,6,trait_TFT14_Armorclad,3,57,3.6,66.7,22.8
8,30,trait_TFT14_Divinicorp,7,23,3.6,65.2,21.7
9,69,trait_TFT14_Thirsty,2,409,3.7,64.5,15.2
10,1,trait_TFT14_AnimaSquad,2,69,3.9,63.8,14.5
11,45,trait_TFT14_Netgod,1,1439,3.8,63.2,24.1
12,16,trait_TFT14_Controller,4,293,3.8,62.8,19.5
13,46,trait_TFT14_Overlord,1,1607,3.8,62.8,18.5
14,19,trait_TFT14_Cutter,3,59,4.1,62.7,20.3
15,68,trait_TFT14_Thirsty,1,1844,3.9,62.5,14.2
16,9,trait_TFT14_BallisTek,3,135,3.6,62.2,26.7
17,43,trait_TFT14_Mob,2,712,3.9,61.7,9.7
18,53,trait_TFT14_Strong,3,273,3.9,61.5,13.6
19,49,trait_TFT14_StreetDemon,3,1901,3.9,61.1,17.5
20,27,trait_TFT14_Divinicorp,4,520,4.0,61.0,13.5
21,57,trait_TFT14_Supercharge,1,651,4.0,60.2,18.9
22,10,trait_TFT14_Bruiser,1,4567,4.0,60.1,16.0
23,75,trait_TFT14_Virus,1,1385,4.0,59.8,21.4
24,74,trait_TFT14_ViegoUniqueTrait,1,2272,4.0,59.6,19.3
25,15,trait_TFT14_Controller,3,839,4.0,59.5,16.8
26,47,trait_TFT14_StreetDemon,1,1019,4.0,59.5,17.9
27,14,trait_TFT14_Controller,2,1770,4.1,58.5,16.9
28,62,trait_TFT14_Swift,2,45,4.2,57.8,8.9
29,32,trait_TFT14_EdgeRunner,2,709,4.1,57.8,12.4
30,28,trait_TFT14_Divinicorp,5,151,4.0,57.6,20.5
31,65,trait_TFT14_Techie,2,569,4.1,57.6,16.7
32,18,trait_TFT14_Cutter,2,310,4.0,57.4,17.4
33,64,trait_TFT14_Techie,1,3478,4.1,57.4,17.2
34,26,trait_TFT14_Divinicorp,3,874,4.1,57.2,13.5
35,73,trait_TFT14_Vanguard,3,137,4.1,56.9,8.0
36,20,trait_TFT14_Cutter,4,69,4.4,56.5,13.0
37,25,trait_TFT14_Divinicorp,2,1279,4.2,55.4,14.2
38,61,trait_TFT14_Swift,1,1379,4.3,55.0,13.1
39,37,trait_TFT14_Immortal,1,1511,4.3,54.9,11.7
40,72,trait_TFT14_Vanguard,2,1247,4.3,54.9,10.3
41,5,trait_TFT14_Armorclad,2,344,4.3,54.7,19.5
42,41,trait_TFT14_Marksman,2,1004,4.3,54.5,9.4
43,0,trait_TFT14_AnimaSquad,1,1521,4.3,54.2,11.7
44,17,trait_TFT14_Cutter,1,1504,4.3,53.4,14.3
45,63,trait_TFT14_Swift,3,36,4.0,52.8,27.8
46,8,trait_TFT14_BallisTek,2,229,4.3,52.4,17.9
47,52,trait_TFT14_Strong,2,269,4.4,52.0,12.3
48,29,trait_TFT14_Divinicorp,6,54,4.0,51.9,16.7
49,4,trait_TFT14_Armorclad,1,2584,4.4,51.8,13.0
50,66,trait_TFT14_Techie,3,139,4.4,51.8,13.7
51,12,trait_TFT14_Bruiser,3,429,4.4,51.7,16.6
52,71,trait_TFT14_Vanguard,1,2282,4.4,51.5,13.4
53,24,trait_TFT14_Divinicorp,1,2573,4.5,51.3,11.5
54,70,trait_TFT14_Thirsty,3,156,4.4,51.3,5.8
55,31,trait_TFT14_EdgeRunner,1,1342,4.5,50.1,13.7
56,51,trait_TFT14_Strong,1,608,4.5,50.0,17.4
57,2,trait_TFT14_AnimaSquad,3,401,4.5,48.4,10.0
58,54,trait_TFT14_Suits,1,310,4.7,48.4,19.4
59,40,trait_TFT14_Marksman,1,1341,4.6,48.3,15.1
60,42,trait_TFT14_Mob,1,409,4.7,47.7,7.8
61,11,trait_TFT14_Bruiser,2,278,4.6,47.5,12.9
62,56,trait_TFT14_Suits,3,48,4.7,45.8,27.1
63,39,trait_TFT14_Immortal,3,611,4.6,45.8,20.5
64,7,trait_TFT14_BallisTek,1,571,4.7,45.7,12.8
65,38,trait_TFT14_Immortal,2,113,5.1,43.4,14.2
66,48,trait_TFT14_StreetDemon,2,364,4.9,43.1,7.7
67,33,trait_TFT14_EdgeRunner,3,140,4.8,42.9,5.7
68,13,trait_TFT14_Controller,1,722,4.8,42.7,12.7
69,36,trait_TFT14_HotRod,2,174,4.9,42.5,9.8
70,58,trait_TFT14_Supercharge,2,147,4.9,42.2,13.6
71,35,trait_TFT14_HotRod,1,90,5.0,42.2,6.7
72,67,trait_TFT14_Techie,4,58,4.8,39.7,12.1
73,22,trait_TFT14_Cyberboss,2,142,5.5,31.7,4.2
74,55,trait_TFT14_Suits,2,45,5.8,26.7,15.6
75,59,trait_TFT14_Supercharge,3,346,5.9,21.7,2.0
